Model Name,Organization,MMLU,GPQA,HumanEval,Math,Documentation,White papers,Youtube reference,Best For,Multimodal Capabilities,Language Support,Specialized Features,,
GPT-4o,OpenAI,88.70%,53.60%,90.20%,60.30%,https://platform.openai.com/docs/models#gpt-4o,https://arxiv.org/pdf/2410.21276,https://www.youtube.com/watch?v=xHHj6Xm9qVY&ab_channel=MatthewBerman,"General Text, Code Generation","Text, Images",Multilingual,"Strong reasoning, Code analysis",,
O1,OpenAI,90.80%,77.30%,-,94.80%,https://platform.openai.com/docs/models#o1,,https://www.youtube.com/watch?v=SbrfjBV8EzM&ab_channel=MatthewBerman,"Mathematical computations, Advanced reasoning",Text,Multilingual,Advanced math processing,,
gemini-exp-1121,Google,87.70%,~70%,84.10%,86.80%,NA,,https://www.youtube.com/watch?v=44v27tn214U&ab_channel=1littlecoder,"Text, Images, Audio, Video","Text, Images, Audio, Video",Multilingual,Strong multimodal processing,,
Gemini-Exp-1114,Google,86.40%,~68%,82.50%,84.30%,NA,,https://www.youtube.com/watch?v=HcxMwM0hwo0&ab_channel=WorldofAI,Multimodal tasks,"Text, Images, Audio, Video",Multilingual,Real-time processing,,
o1-preview,OpenAI,90.80%,73.30%,92.40%,85.50%,https://platform.openai.com/docs/models,,https://www.youtube.com/watch?v=X4IJZeBGmq8&ab_channel=TheAIGRID,"Code Generation, Text Analysis",Text,Multilingual,Advanced code understanding,,
o1-mini,OpenAI,85.20%,60.00%,92.40%,90.00%,https://platform.openai.com/docs/models,,https://www.youtube.com/watch?v=M9YOO7N5jF8&ab_channel=KyleKabasares,Lightweight applications,Text,Multilingual,Efficient processing,,
Gemini-1.5-Pro-002,Google,90.00%,~71%,85.00%,88.40%,https://ai.google.dev/docs,,https://www.youtube.com/watch?v=rB6jRxOlSWs,Enterprise applications,"Text, Images",Multilingual,Business optimization,,
Gemini-1.5-Pro-Exp-0827,Google,89.00%,~70%,84.50%,87.20%,https://ai.google.dev/docs,,https://www.youtube.com/watch?v=S06DOGVCutE&ab_channel=PromptEngineering,"Research, Analysis","Text, Images",Multilingual,Advanced analysis,,
Grok-2-08-13,xAI,86.40%,~65%,83.00%,82.10%,https://docs.x.ai/docs#getting-started,,https://www.youtube.com/watch?v=70cAeGATttw&ab_channel=ElvisSaravia,Social media analysis,Text,English,Real-time data processing,,
Yi-Lightning,01 AI,85.30%,58.20%,81.50%,78.40%,https://github.com/01-ai/Yi,https://arxiv.org/pdf/2412.01253,,Fast processing,Text,Multilingual,High-speed inference,,
Claude 3.5 Sonnet (20241022),Anthropic,88.70%,67.30%,89.00%,85.20%,https://docs.anthropic.com/claude/,,https://www.youtube.com/watch?v=ffbcU3RLml4&ab_channel=MatthewBerman,"Document analysis, Research","Text, Images",Multilingual,Detailed analysis,,
Llama 3.2-Vision 11B,Meta,73.00%,32.80%,76.50%,51.90%,https://ai.meta.com/llama/,,https://www.youtube.com/watch?v=lzDPQAjItOo&ab_channel=MatthewBerman,Vision tasks,"Text, Images",Multilingual,Visual understanding,,
Llama 3.2-Vision 90B,Meta,86.00%,46.70%,84.20%,68.00%,https://ai.meta.com/llama/,,https://www.youtube.com/watch?v=_MQVHyEeER4&ab_channel=AICodeKing,Advanced vision tasks,"Text, Images",Multilingual,Complex visual processing,,
Qwen2.5-72B-Instruct,Alibaba,86.80%,49.00%,86.60%,83.10%,,https://arxiv.org/pdf/2409.12122,https://www.youtube.com/watch?v=MlClDhRwDew&t=799s&ab_channel=Codewello,Text generation,Text,Multilingual,Instruction following,,
